홈 \ 어웨이	ARS	AVL	BHA	BUR	CHE	CRY	EVE	FUL	LEE	LEI	LIV	MCI	MUN	NEW	SHU	SOU	TOT	WBA	WHU	WOL
ARS		-	0-3	2-0	0-1	3-1	0-0	0-1	1-1	4-2	0-1	0-3	0-1	0-0	3-0	2-1	1-1	2-1	3-1	2-1	1-2
AVL		1-0	-	1-2	0-0	2-1	3-0	0-0	3-1	0-3	1-2	7-2	1-2	1-3	2-0	1-0	3-4	0-2	2-2	1-3	0-0
BHA		0-1	0-0	-	0-0	1-3	1-2	0-0	0-0	2-0	1-2	1-1	3-2	2-3	3-0	1-1	1-2	1-0	1-1	1-1	3-3
BUR		1-1	3-2	1-1	-	0-3	1-0	1-1	1-1	0-4	1-1	0-3	0-2	0-1	1-2	1-0	0-1	0-1	0-0	1-2	2-1
CHE		0-1	1-1	0-0	2-0	-	4-0	2-0	2-0	3-1	2-1	0-2	1-3	0-0	2-0	4-1	3-3	0-0	2-5	3-0	0-0
CRY		1-3	3-2	1-1	0-3	1-4	-	1-2	0-0	4-1	1-1	0-7	0-2	0-0	0-2	2-0	1-0	1-1	1-0	2-3	1-0
EVE		2-1	1-2	4-2	1-2	1-0	1-1	-	0-2	0-1	1-1	2-2	1-3	1-3	0-2	0-1	1-0	2-2	5-2	0-1	1-0
FUL		0-3	0-3	0-0	0-2	0-1	1-2	2-3	-	1-2	0-2	1-1	0-3	1-2	0-2	1-0	0-0	0-1	2-0	0-0	0-1
LEE		0-0	0-1	0-1	1-0	0-0	2-0	1-2	4-3	-	1-4	1-1	1-1	0-0	5-2	2-1	3-0	3-1	3-1	1-2	0-1
LEI		1-3	0-1	3-0	4-2	2-0	2-1	0-2	1-2	1-3	-	3-1	0-2	2-2	2-4	5-0	2-0	2-4	3-0	0-3	1-0
LIV		3-1	2-1	0-1	0-1	0-1	2-0	0-2	0-1	4-3	3-0	-	1-4	0-0	1-1	2-1	2-0	2-1	1-1	2-1	4-0
MCI		1-0	2-0	1-0	5-0	1-2	4-0	5-0	2-0	1-2	2-5	1-1	-	0-2	2-0	1-0	5-2	3-0	1-1	2-1	4-1
MUN		0-1	2-1	2-1	3-1	0-0	1-3	3-3	1-1	6-2	1-2	2-4	0-0	-	3-1	1-2	9-0	1-6	1-0	1-0	1-0
NEW		0-2	1-1	0-3	3-1	0-2	1-2	2-1	1-1	1-2	1-2	0-0	3-4	1-4	-	1-0	3-2	2-2	2-1	3-2	1-1
SHU		0-3	1-0	1-0	1-0	1-2	0-2	0-1	1-1	0-1	1-2	0-2	0-1	2-3	1-0	-	0-2	1-3	2-1	0-1	0-2
SOU		1-3	0-1	1-2	3-2	1-1	3-1	2-0	3-1	0-2	1-1	1-0	0-1	2-3	2-0	3-0	-	2-5	2-0	0-0	1-2
TOT		2-0	1-2	2-1	4-0	0-1	4-1	0-1	1-1	3-0	0-2	1-3	2-0	1-3	1-1	4-0	2-1	-	2-0	3-3	2-0
WBA		0-4	0-3	1-0	0-0	3-3	1-5	0-1	2-2	0-5	0-3	1-2	0-5	1-1	0-0	1-0	3-0	0-1	-	1-3	1-1
WHU		3-3	2-1	2-2	1-0	0-1	1-1	0-1	1-0	2-0	3-2	1-3	1-1	1-3	0-2	3-0	3-0	2-1	2-1	-	4-0
WOL		2-1	0-1	2-1	0-4	2-1	2-0	1-2	1-0	1-0	0-0	0-1	1-3	1-2	1-1	1-0	1-1	1-1	2-3	2-3	-
