홈 \ 어웨이	ARS	AVL	BRE	BHA	BUR	CHE	CRY	EVE	LEE	LEI	LIV	MCI	MUN	NEW	NOR	SOU	TOT	WAT	WHU	WOL
ARS		-	3-1	2-1	1-2	0-0	0-2	2-2	5-1	2-1	2-0	0-2	1-2	3-1	2-0	1-0	3-0	3-1	1-0	2-0	2-1
AVL		0-1	-	1-1	2-0	1-1	1-3	1-1	3-0	3-3	2-1	1-2	1-2	2-2	2-0	2-0	4-0	0-4	0-1	1-4	2-3
BRE		2-0	2-1	-	0-1	2-0	0-1	0-0	1-0	1-2	1-2	3-3	0-1	1-3	0-2	1-2	3-0	0-0	2-1	2-0	1-2
BHA		0-0	0-2	2-0	-	0-3	1-1	1-1	0-2	0-0	2-1	0-2	1-4	4-0	1-1	0-0	2-2	0-2	2-0	3-1	0-1
BUR		0-1	1-3	3-1	1-2	-	0-4	3-3	3-2	1-1	0-2	0-1	0-2	1-1	1-2	0-0	2-0	1-0	0-0	0-0	1-0
CHE		2-4	3-0	1-4	1-1	1-1	-	3-0	1-1	3-2	1-1	2-2	0-1	1-1	1-0	7-0	3-1	2-0	2-1	1-0	2-2
CRY		3-0	1-2	0-0	1-1	1-1	0-1	-	3-1	0-0	2-2	1-3	0-0	1-0	1-1	3-0	2-2	3-0	1-0	2-3	2-0
EVE		2-1	0-1	2-3	2-3	3-1	1-0	3-2	-	3-0	1-1	1-4	0-1	1-0	1-0	2-0	3-1	0-0	2-5	0-1	0-1
LEE		1-4	0-3	2-2	1-1	3-1	0-3	1-0	2-2	-	1-1	0-3	0-4	2-4	0-1	2-1	1-1	0-4	1-0	1-2	1-1
LEI		0-2	0-0	2-1	1-1	2-2	0-3	2-1	1-2	1-0	-	1-0	0-1	4-2	4-0	3-0	4-1	2-3	4-2	2-2	1-0
LIV		4-0	1-0	3-0	2-2	2-0	1-1	3-0	2-0	6-0	2-0	-	2-2	4-0	3-1	3-1	4-0	1-1	2-0	1-0	3-1
MCI		5-0	3-2	2-0	3-0	2-0	1-0	0-2	3-0	7-0	6-3	1-1	-	4-1	5-0	5-0	0-0	2-3	5-1	2-1	1-0
MUN		3-2	0-1	3-0	2-0	3-1	1-1	1-0	1-1	5-1	1-1	0-5	0-2	-	4-1	3-2	1-1	3-2	0-0	1-0	0-1
NEW		2-0	1-0	3-3	2-1	1-0	0-3	1-0	3-1	1-1	1-1	0-1	0-4	1-1	-	1-1	2-2	2-3	1-1	2-4	1-0
NOR		0-5	0-2	1-3	0-0	2-0	1-3	1-1	2-1	1-2	1-2	0-3	0-4	0-1	0-3	-	2-1	0-5	1-3	0-4	0-0
SOU		1-0	1-0	4-1	1-1	2-2	0-6	1-1	2-0	1-0	2-2	1-2	1-1	1-1	1-2	2-0	-	1-1	1-2	0-0	0-1
TOT		3-0	2-1	2-0	0-1	1-0	0-3	3-0	5-0	2-1	3-1	2-2	1-0	0-3	5-1	3-0	2-3	-	1-0	3-1	0-2
WAT		2-3	3-2	1-2	0-2	1-2	1-2	1-4	0-0	0-3	1-5	0-5	1-3	4-1	1-1	0-3	0-1	0-1	-	1-4	0-2
WHU		1-2	2-1	1-2	1-1	1-1	3-2	2-2	2-1	2-3	4-1	3-2	2-2	1-2	1-1	2-0	2-3	1-0	1-0	-	1-0
WOL		0-1	2-1	0-2	0-3	0-0	0-0	0-2	2-1	2-3	2-1	0-1	1-5	0-1	2-1	1-1	3-1	0-1	4-0	1-0	-
